Wavenumber,Reflectivity,,,,Wavelength um,Ref decimal,,new column for sorting,Wavelength,ref
1319.127,4.60855,,,,7.580771222,0.0460855,,,2.980027261,0.0493371
1321.055,4.78687,,,,7.569707544,0.0478687,,,2.981741307,0.0492333
1322.984,4.95812,,,,7.5586704,0.0495812,,,2.983457326,0.0491593
1324.912,5.11777,,,,7.547671091,0.0511777,,,2.98517443,0.0491096
1326.841,5.25992,,,,7.536698067,0.0525992,,,2.986894403,0.0490789
1328.77,5.38528,,,,7.525756903,0.0538528,,,2.988615467,0.0491113
1330.698,5.48721,,,,7.514853107,0.0548721,,,2.99033941,0.0491861
1332.627,5.55717,,,,7.503975231,0.0555717,,,2.992064447,0.0493318
1334.555,5.57728,,,,7.493134416,0.0557728,,,2.993792372,0.0495572
1336.484,5.54937,,,,7.48231928,0.0554937,,,2.995521396,0.0498111
1338.412,5.48136,,,,7.471540901,0.0548136,,,2.997253317,0.049968
1340.341,5.37653,,,,7.460787964,0.0537653,,,2.998987242,0.05009
1342.269,5.24159,,,,7.450071483,0.0524159,,,3.000722274,0.0503632
1344.198,5.08234,,,,7.43938021,0.0508234,,,3.002460216,0.0506623
1346.126,4.89736,,,,7.428725097,0.0489736,,,3.00419927,0.0507836
1348.055,4.70249,,,,7.418094959,0.0470249,,,3.005941243,0.050891
1349.984,4.51296,,,,7.4074952,0.0451296,,,3.007684333,0.051018
1351.912,4.34215,,,,7.396931161,0.0434215,,,3.009430351,0.0511306
1353.841,4.19705,,,,7.386391755,0.0419705,,,3.011177491,0.0512402
